title,park,date,rating,cc,location.latitude,location.longitude,datayear,day,address,community,geocode_address,datamonth
The Lego Movie,Pulaski Park,2015-07-26T03:10:00Z,PG,Yes,41.90703583,-87.66342163,2015,Sun,1419 W. Blackhawk St. Chicago IL 60642,WEST TOWN,1419 W. Blackhawk St. Chicago IL 60642,07
Dolphin Tale 2,Emmerson Park,2015-07-26T03:17:00Z,PG,Yes,41.99436951,-87.67577362,2015,Sun,1820 W. Granville Ave. Chicago IL 60660,WEST RIDGE,1820 W. Granville Ave. Chicago IL 60660,07
Jaws,Lincoln Park,2015-07-26T03:34:00Z,PG-13,Yes,41.928495,-87.636008,2015,Sun,2045 N Lincoln Park West Chicago IL 60614,LINCOLN PARK,2045 N Lincoln Park West Chicago IL 60614,07
Left Behind,Dawes Park,2015-07-25T03:20:00Z,PG-13,Yes,41.74732971,-87.67307281,2015,Sat,8052 S. Damen Ave. Chicago IL 60620,AUBURN GRESHAM,8052 S. Damen Ave. Chicago IL 60620,07
Jurassic Park,Taylor-Lauridsen Playground Park,2015-07-25T03:37:00Z,PG-13,Yes,41.81760025,-87.64348602,2015,Sat,704 W. 42nd St. Chicago IL 60609,NEW CITY,704 W. 42nd St. Chicago IL 60609,07
"Looney Tunes Collection (Corny Concerto, Foney Fables, Hollywood Steps Out, Little Red Riding Rabbit, Rabbit of Seville, Rocket Bye Baby, Bugs' Bonnets)",Indian Boundary Park,2015-07-25T02:30:00Z,NR,No,42.0086174,-87.69226074,2015,Sat,"2500 W. Lunt Ave., Chicago IL 60645",WEST RIDGE,"2500 W. Lunt Ave., Chicago IL 60645",07
Get On Up,West Pullman Park,2015-07-24T03:49:00Z,PG-13,Yes,41.67062378,-87.63065338,2015,Fri,401 W. 123rd St. Chicago IL 60628,WEST PULLMAN,401 W. 123rd St. Chicago IL 60628,07
The Social Network,Clark (Richard) Playlot Park,2015-07-24T03:30:00Z,PG-13,Yes,41.94225311,-87.69390106,2015,Fri,3400 N. Rockwell St. Chicago IL 60618,NORTH CENTER,3400 N. Rockwell St. Chicago IL 60618,07
Big Hero 6,Commercial Club Playground,2015-07-24T03:12:00Z,PG,Yes,41.89686584,-87.67324829,2015,Fri,1845 W. Rice St. Chicago IL 60622,WEST TOWN,1845 W. Rice St. Chicago IL 60622,07
Sixteen Candles,Chase Park,2015-07-24T03:00:00Z,R,No,41.96714783,-87.66930389,2015,Fri,4701 N. Ashland Ave. Chicago IL 60640,UPTOWN,4701 N. Ashland Ave. Chicago IL 60640,07
The Croods,Kells Playground Park,2015-07-23T03:08:00Z,PG,Yes,41.89552689,-87.7065506,2015,Thu,3201 W. Chicago Ave. Chicago IL 60624,HUMBOLDT PARK,3201 W. Chicago Ave. Chicago IL 60624,07
A Latino Film Festival Selection,Kilbourn Park,2015-07-23T03:30:00Z,NR,Yes,41.94442749,-87.73962402,2015,Thu,3501 N. Kilbourn Ave. Chicago IL 60641,IRVING PARK,3501 N. Kilbourn Ave. Chicago IL 60641,07
E.T. The Extra-Terrestrial,Donovan Playground Park,2015-07-23T03:25:00Z,PG,Yes,41.82843781,-87.64769745,2015,Thu,3620 S.Lituanica Ave. Chicago IL 60609,BRIDGEPORT,3620 S.Lituanica Ave. Chicago IL 60609,07
Get On Up,Grand Crossing Park,2015-07-22T03:49:00Z,PG-13,Yes,41.75580215,-87.60163116,2015,Wed,7655 S. Ingleside Ave. Chicago IL 60619,GREATER GRAND CROSSING,7655 S. Ingleside Ave. Chicago IL 60619,07
Annie (2014),Russell Square Park,2015-07-22T03:30:00Z,PG,No,41.74466705,-87.54989624,2015,Wed,3045 E. 83rd St. Chicago IL 60617,SOUTH CHICAGO,3045 E. 83rd St. Chicago IL 60617,07
Paddington,Daniel Webster Park,2015-07-22T03:05:00Z,PG,Yes,41.86395645,-87.62201691,2015,Wed,"1401 S Indiana Ave Chicago, IL 60605",NEAR SOUTH SIDE,"1401 S Indiana Ave Chicago, IL 60605",07
Wayne's World,Lincoln Park,2015-07-22T03:04:00Z,PG-13,No,41.928495,-87.636008,2015,Wed,2045 N Lincoln Park West Chicago IL 60614,LINCOLN PARK,2045 N Lincoln Park West Chicago IL 60614,07
Strange Magic,Haas Park,2015-07-22T03:00:00Z,PG,No,41.92525609,-87.6952435,2015,Wed,2402 N. Washtenaw Ave. Chicago IL 60647,LOGAN SQUARE,2402 N. Washtenaw Ave. Chicago IL 60647,07
Mr. Smith Goes to Washington,Jackson Park,2015-07-21T03:39:00Z,NR,No,41.77771378,-87.58693695,2015,Tue,"6401 S Stony Island Ave Chicago, IL 60637",HYDE PARK,"6401 S Stony Island Ave Chicago, IL 60637",07
The Goonies,Hiawatha Park,2015-07-20T03:24:00Z,PG,Yes,41.94418716,-87.82727814,2015,Mon,8029 W. Forest Preserve Dr. Chicago IL 60634,DUNNING,8029 W. Forest Preserve Dr. Chicago IL 60634,07
